pid,ppid,name
4,0,System
260,4,smss.exe
348,340,csrss.exe
400,340,wininit.exe
524,400,lsm.exe
508,400,services.exe
896,508,svchost.exe
1408,508,svchost.exe
1288,508,mscorsvw.exe
1932,508,dllhost.exe
1040,508,msdtc.exe
676,508,vm3dservice.ex
296,508,svchost.exe
1192,508,spoolsv.exe
812,508,svchost.exe
2336,812,audiodg.exe
940,508,svchost.exe
1204,508,mscorsvw.exe
700,508,svchost.exe
2240,508,SearchIndexer.
2368,508,wmpnetwk.exe
1224,508,taskhost.exe
1480,508,VGAuthService.
2632,508,svchost.exe
852,508,svchost.exe
1132,852,dwm.exe
724,508,sppsvc.exe
2008,508,svchost.exe
1248,508,svchost.exe
612,508,svchost.exe
2824,612,WmiPrvSE.exe
1828,612,WmiPrvSE.exe
1516,508,vmtoolsd.exe
516,400,lsass.exe
412,392,csrss.exe
2488,412,conhost.exe
460,392,winlogon.exe
1144,1124,explorer.exe
1920,1144,cmd.exe
1996,1144,vmtoolsd.exe
1988,1144,vm3dservice.ex
